condition,execution_path,attack,path,round30_accuracy_mean,round30_accuracy_std,round30_macro_f1_mean,round30_macro_f1_std,final_evaluation_reward_mean,final_evaluation_reward_std,mean_round_time_sec_mean,mean_round_time_sec_std,round30_accuracy_mean_pm_std,round30_macro_f1_mean_pm_std,final_evaluation_reward_mean_pm_std,mean_round_time_sec_mean_pm_std,paired_abs_round30_accuracy_difference_mean,paired_abs_round30_accuracy_difference_std,paired_abs_round30_accuracy_difference_mean_pm_std,paired_abs_round30_macro_f1_difference_mean,paired_abs_round30_macro_f1_difference_std,paired_abs_round30_macro_f1_difference_mean_pm_std,paired_abs_final_evaluation_reward_difference_mean,paired_abs_final_evaluation_reward_difference_std,paired_abs_final_evaluation_reward_difference_mean_pm_std,paired_abs_mean_round_time_sec_difference_mean,paired_abs_mean_round_time_sec_difference_std,paired_abs_mean_round_time_sec_difference_mean_pm_std,paired_plaintext_path
RNB-Primary (alpha=0.5),ep_sdp-ppa,random_noise_byzantine,sdp_ppa,0.5735555555555555,0.27488266857239557,0.5348487061762116,0.31150315137347034,0.8677777777777775,1.3744133428619776,3.618585497777591,0.17340150337964358,0.573556 ± 0.274883,0.534849 ± 0.311503,0.867778 ± 1.374413,3.618585 ± 0.173402,0.010222222222222207,0.013103575989160504,0.010222 ± 0.013104,0.010851118326003837,0.012141139932149783,0.010851 ± 0.012141,0.05111111111111074,0.06551787994580228,0.051111 ± 0.065518,0.5868679233331933,0.10375036545672241,0.586868 ± 0.103750,ep_sdp
RNB-Primary (alpha=0.5),ep_twa-ppa,random_noise_byzantine,twa_ppa,0.9708888888888888,0.0009622504486493183,0.9704155511532447,0.0009818470466694117,2.8544444444444443,0.00481125224324664,3.5458855622223684,0.06260237491435895,0.970889 ± 0.000962,0.970416 ± 0.000982,2.854444 ± 0.004811,3.545886 ± 0.062602,0.00011111111111106187,0.00019245008972978994,0.000111 ± 0.000192,0.00011443571067367338,0.00019820846508705438,0.000114 ± 0.000198,0.0005555555555550503,0.000962250448648501,0.000556 ± 0.000962,0.44883126222216047,0.12803180536162992,0.448831 ± 0.128032,ep_twa
Model replacement,ep_0,model_replacement,fedavg,0.20933333333333334,0.07043673284113434,0.09110347460862923,0.01540923398868076,-0.9533333333333333,0.35218366420567165,2.8869519655555553,0.01285065876560469,0.209333 ± 0.070437,0.091103 ± 0.015409,-0.953333 ± 0.352184,2.886952 ± 0.012851,,,,,,,,,,,,,
Model replacement,ep_sdp,model_replacement,static_dp,0.640888888888889,0.04214305443411809,0.5948118823273268,0.07547422102659163,1.2044444444444444,0.2107152721705903,2.8723276655554706,0.021586141208299475,0.640889 ± 0.042143,0.594812 ± 0.075474,1.204444 ± 0.210715,2.872328 ± 0.021586,,,,,,,,,,,,,
Model replacement,ep_twa,model_replacement,twa,0.9736666666666668,0.0067659277100614095,0.9734167155611462,0.006841299729254499,2.8683333333333336,0.03382963855030725,2.8665580322223025,0.014034139294131909,0.973667 ± 0.006766,0.973417 ± 0.006841,2.868333 ± 0.033830,2.866558 ± 0.014034,,,,,,,,,,,,,
Model replacement,ep_ppa,model_replacement,ppa,0.2501111111111111,0.00019245008972985805,0.10205337286879168,0.0035565461356306264,-0.7494444444444445,0.0009622504486492783,3.4071089988891092,0.038178735995443414,0.250111 ± 0.000192,0.102053 ± 0.003557,-0.749444 ± 0.000962,3.407109 ± 0.038179,0.04077777777777777,0.07062918293086419,0.040778 ± 0.070629,0.010949898260162433,0.018965780124311386,0.010950 ± 0.018966,0.2038888888888888,0.3531459146543209,0.203889 ± 0.353146,0.520157033333554,0.0455949931345966,0.520157 ± 0.045595,ep_0
Model replacement,ep_sdp-ppa,model_replacement,sdp_ppa,0.6172222222222222,0.0843071984097663,0.5717085385912558,0.10450443871445202,1.086111111111111,0.4215359920488316,3.4102675433330663,0.02126156192150101,0.617222 ± 0.084307,0.571709 ± 0.104504,1.086111 ± 0.421536,3.410268 ± 0.021262,0.032333333333333325,0.04500493800067324,0.032333 ± 0.045005,0.029558118449669418,0.042922255653325414,0.029558 ± 0.042922,0.16166666666666663,0.22502469000336628,0.161667 ± 0.225025,0.5379398777775958,0.041758775637778967,0.537940 ± 0.041759,ep_sdp
Model replacement,ep_twa-ppa,model_replacement,twa_ppa,0.9713333333333334,0.004255715111601136,0.9710174011107973,0.00428986740884298,2.856666666666667,0.02127857555800593,3.3800075111109535,0.04085289115417843,0.971333 ± 0.004256,0.971017 ± 0.004290,2.856667 ± 0.021279,3.380008 ± 0.040853,0.0023333333333333353,0.0032145502536643214,0.002333 ± 0.003215,0.0024036811191728105,0.003312475929905975,0.002404 ± 0.003312,0.011666666666666714,0.016072751268321757,0.011667 ± 0.016073,0.5134494788886513,0.030079417825389556,0.513449 ± 0.030079,ep_twa
Label flipping,ep_0,label_flipping,fedavg,0.5992222222222222,0.11503252358129626,0.5465147222988438,0.17000025959198614,0.9961111111111111,0.5751626179064815,3.6808635711111495,1.4663552705835357,0.599222 ± 0.115033,0.546515 ± 0.170000,0.996111 ± 0.575163,3.680864 ± 1.466355,,,,,,,,,,,,,
Label flipping,ep_sdp,label_flipping,static_dp,0.46355555555555555,0.09650810750820275,0.39948253421569846,0.10807031592950107,0.3177777777777779,0.4825405375410138,3.2437646788888337,0.6806575073722941,0.463556 ± 0.096508,0.399483 ± 0.108070,0.317778 ± 0.482541,3.243765 ± 0.680658,,,,,,,,,,,,,
