seed,execution_path,path,condition,attack,final_accuracy,final_macro_f1,final_evaluation_reward,mean_round_time_sec,total_execution_time_sec,mean_malicious_weight,final_malicious_weight,suppressed_rounds,final_10_suppressed_rounds,mean_gated_adversarial_trust,mean_B_adv,mean_R_adv
42,ep_0,fedavg,clean,none,0.4923333333333333,0.4871105382700757,0.46166666666666645,2.907349780000004,87.22049340000012,,,0,0,,,
42,ep_sdp,static_dp,clean,none,0.579,0.5194992522565492,0.8949999999999996,2.8928388599999986,86.78516579999996,,,0,0,,,
42,ep_twa,twa,clean,none,0.9686666666666668,0.9680842968687656,2.8433333333333337,2.89150244666677,86.7450734000031,0.21523768256107964,0.2195679247379303,0,0,0.7608999308586456,0.968697060318093,0.2181780754843499
42,ep_ppa,ppa,clean,none,0.5073333333333333,0.5065570613134764,0.5366666666666666,3.396463383333351,101.89390150000054,,,0,0,,,
42,ep_sdp-ppa,sdp_ppa,clean,none,0.576,0.5154549677557424,0.8799999999999999,3.4192874766665833,102.5786242999975,,,0,0,,,
42,ep_twa-ppa,twa_ppa,clean,none,0.9693333333333334,0.9687864593745592,2.8466666666666667,3.4013875700000122,102.04162710000037,0.2155590256055196,0.221905842423439,0,0,0.7616187159456698,0.9685334593142351,0.21885390717397166
42,ep_0,fedavg,adversarial,sign_flipping,0.9043333333333332,0.9038765544475852,2.5216666666666665,3.0598149399997663,91.79444819999298,,,0,0,,,
42,ep_sdp,static_dp,adversarial,sign_flipping,0.633,0.622530410194722,1.165,3.0801608966667726,92.40482690000317,,,0,0,,,
42,ep_twa,twa,adversarial,sign_flipping,0.9726666666666668,0.9722379468935678,2.863333333333334,3.1607156666666922,94.82147000000077,0.09994318013389902,0.1310024857521057,0,0,0.5892774205901421,0.9378763974369991,0.26437049379529765
42,ep_ppa,ppa,adversarial,sign_flipping,0.8903333333333333,0.8897252632063944,2.451666666666666,3.675550916666786,110.26652750000358,,,0,0,,,
42,ep_sdp-ppa,sdp_ppa,adversarial,sign_flipping,0.625,0.6123285921647164,1.125,3.6870243733334065,110.61073120000219,,,0,0,,,
42,ep_twa-ppa,twa_ppa,adversarial,sign_flipping,0.9723333333333334,0.971894755165443,2.8616666666666672,3.6584944900000966,109.7548347000029,0.09974977727979419,0.1312075108289718,0,0,0.5894109504977175,0.937722733622134,0.26402096129124586
42,ep_0,fedavg,adversarial,random_noise_byzantine,0.3036666666666666,0.1932302064992375,-0.48166666666666713,3.1552718366666643,94.65815509999993,,,0,0,,,
42,ep_sdp,static_dp,adversarial,random_noise_byzantine,0.841,0.8410880195513637,2.205,3.1123306466667904,93.36991940000371,,,0,0,,,
42,ep_twa,twa,adversarial,random_noise_byzantine,0.9703333333333334,0.9698632644892876,2.8516666666666666,3.3131259366667414,99.39377810000224,0.12223566584289071,0.1979717463254928,0,0,0.6297565298344835,0.9996719773863739,0.25738944671928726
42,ep_ppa,ppa,adversarial,random_noise_byzantine,0.2973333333333333,0.1838499571765709,-0.5133333333333336,3.9587390300000456,118.76217090000137,,,0,0,,,
42,ep_sdp-ppa,sdp_ppa,adversarial,random_noise_byzantine,0.8663333333333333,0.8658582322677999,2.331666666666666,3.818555619999885,114.55666859999656,,,0,0,,,
42,ep_twa-ppa,twa_ppa,adversarial,random_noise_byzantine,0.9703333333333334,0.9698632644892876,2.8516666666666666,3.614940569999938,108.44821709999815,0.12242094961305457,0.1998975872993469,0,0,0.629878208015056,0.9996681225215257,0.2574428236552556
42,ep_0,fedavg,adversarial,model_replacement,0.128,0.0733104238258877,-1.3599999999999999,2.873153903333514,86.19461710000542,,,0,0,,,
42,ep_sdp,static_dp,adversarial,model_replacement,0.6886666666666666,0.6818219565069327,1.4433333333333334,2.8958243333335605,86.87473000000682,,,0,0,,,
42,ep_twa,twa,adversarial,model_replacement,0.9676666666666668,0.967291075884205,2.838333333333334,2.864109993333235,85.92329979999704,0.02707019323327885,0.0480880364775657,0,0,0.3551328643705134,0.22779441666547218,0.3194579506927124
42,ep_ppa,ppa,adversarial,model_replacement,0.2503333333333333,0.106160118606375,-0.7483333333333335,3.440524683333509,103.21574050000527,,,0,0,,,
42,ep_sdp-ppa,sdp_ppa,adversarial,model_replacement,0.6903333333333334,0.6835769048935905,1.4516666666666667,3.3930245199999263,101.79073559999779,,,0,0,,,
42,ep_twa-ppa,twa_ppa,adversarial,model_replacement,0.9666666666666668,0.9662700728212856,2.833333333333334,3.3994650900001337,101.98395270000401,0.0275783827838798,0.0486435294151306,0,0,0.3560307454899943,0.23115381186568112,0.3265725668179123
42,ep_0,fedavg,adversarial,label_flipping,0.732,0.7413956073883354,1.6600000000000001,2.84436196000006,85.3308588000018,,,0,0,,,
42,ep_sdp,static_dp,adversarial,label_flipping,0.465,0.4222718480052085,0.3250000000000002,2.8563014966667954,85.68904490000386,,,0,0,,,
42,ep_twa,twa,adversarial,label_flipping,0.9676666666666668,0.9671569453482702,2.838333333333334,2.8764634900001207,86.29390470000362,0.07089134988685444,0.0442551150918006,0,0,0.519005222018218,0.3381246463894926,0.30931050211956673
42,ep_ppa,ppa,adversarial,label_flipping,0.742,0.7510074033740812,1.71,3.3820120366664925,101.46036109999477,,,0,0,,,
42,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,0.4593333333333333,0.413086899709415,0.2966666666666664,3.4305193333334802,102.91558000000441,,,0,0,,,
42,ep_twa-ppa,twa_ppa,adversarial,label_flipping,0.9673333333333334,0.9668367250959043,2.836666666666667,3.4015050600000296,102.0451518000009,0.07103571904202298,0.0437622554600238,0,0,0.5190065420189014,0.33773582337384295,0.3184439079381406
42,ep_0,fedavg,adversarial,data_poisoning,0.6093333333333333,0.6152245850878196,1.0466666666666664,2.824058396666442,84.72175189999325,,,0,0,,,
42,ep_sdp,static_dp,adversarial,data_poisoning,0.619,0.5820064345378697,1.0949999999999998,2.8393667733332526,85.18100319999758,,,0,0,,,
42,ep_twa,twa,adversarial,data_poisoning,0.971,0.9705190667451632,2.8549999999999995,2.8469727566667036,85.40918270000111,0.202756105363369,0.2107345759868621,0,0,0.7495593116419325,0.9616537526856472,0.21893875688176212
42,ep_ppa,ppa,adversarial,data_poisoning,0.6276666666666667,0.6350169618186763,1.1383333333333336,3.4009301633333964,102.02790490000189,,,0,0,,,
42,ep_sdp-ppa,sdp_ppa,adversarial,data_poisoning,0.6186666666666667,0.5813278553330445,1.0933333333333337,3.3907818966667036,101.72345690000111,,,0,0,,,
42,ep_twa-ppa,twa_ppa,adversarial,data_poisoning,0.971,0.9705190667451632,2.8549999999999995,3.413753923333267,102.41261769999801,0.20324830412864678,0.211285725235939,0,0,0.7497105241657416,0.9617227019890354,0.21925037783988324
42,ep_0,fedavg,adversarial,reward_poisoning,0.4923333333333333,0.4871105382700757,0.46166666666666645,2.8455403866665923,85.36621159999777,,,0,0,,,
42,ep_sdp,static_dp,adversarial,reward_poisoning,0.579,0.5194992522565492,0.8949999999999996,2.8497281166667867,85.4918435000036,,,0,0,,,
