seed,attack,condition,path,final_accuracy,final_macro_f1,mean_malicious_weight,final_malicious_weight,suppressed_rounds_out_of_30,suppressed_rounds_21_30,mean_malicious_ema_trust,mean_B_adv,mean_R_adv,malicious_to_benign_update_norm_ratio,mean_round_time_sec,ckks_mean_absolute_error,ckks_max_relative_l2_error
42,sign_flipping,Sign flipping,twa,0.9726666666666668,0.9722379468935678,0.09994318013389902,0.1310024857521057,0,0,0.5892774205901421,0.9378763974369991,0.26437049379529765,1.7715464936993663,3.1607156666666922,,
42,sign_flipping,Sign flipping,twa_ppa,0.9723333333333334,0.971894755165443,0.09974977727979419,0.1312075108289718,0,0,0.5894109504977175,0.937722733622134,0.26402096129124586,1.767526580598385,3.6584944900000966,2.0588707153971577e-06,0.0022518541663885
42,random_noise_byzantine,RNB-Primary (alpha=0.5),twa,0.9703333333333334,0.9698632644892876,0.12223566584289071,0.1979717463254928,0,0,0.6297565298344835,0.9996719773863739,0.25738944671928726,0.5004275180256916,3.3131259366667414,,
42,random_noise_byzantine,RNB-Primary (alpha=0.5),twa_ppa,0.9703333333333334,0.9698632644892876,0.12242094961305457,0.1998975872993469,0,0,0.629878208015056,0.9996681225215257,0.2574428236552556,0.5004275168196536,3.614940569999938,2.048134388132894e-06,0.0021058574784547
42,model_replacement,Model replacement,twa,0.9676666666666668,0.967291075884205,0.02707019323327885,0.0480880364775657,0,0,0.3551328643705134,0.22779441666547218,0.3194579506927124,12.25468819357655,2.864109993333235,,
42,model_replacement,Model replacement,twa_ppa,0.9666666666666668,0.9662700728212856,0.0275783827838798,0.0486435294151306,0,0,0.3560307454899943,0.23115381186568112,0.3265725668179123,12.252782075337853,3.3994650900001337,2.057161251893073e-06,0.0018671615980565
42,label_flipping,Label flipping,twa,0.9676666666666668,0.9671569453482702,0.07089134988685444,0.0442551150918006,0,0,0.519005222018218,0.3381246463894926,0.30931050211956673,1.8766345511842453,2.8764634900001207,,
42,label_flipping,Label flipping,twa_ppa,0.9673333333333334,0.9668367250959043,0.07103571904202298,0.0437622554600238,0,0,0.5190065420189014,0.33773582337384295,0.3184439079381406,1.8713848447914458,3.4015050600000296,2.0611270959610315e-06,0.0018305628327652
42,data_poisoning,Data poisoning,twa,0.971,0.9705190667451632,0.202756105363369,0.2107345759868621,0,0,0.7495593116419325,0.9616537526856472,0.21893875688176212,0.9389067425190033,2.8469727566667036,,
42,data_poisoning,Data poisoning,twa_ppa,0.971,0.9705190667451632,0.20324830412864678,0.211285725235939,0,0,0.7497105241657416,0.9617227019890354,0.21925037783988324,0.9375509218693847,3.413753923333267,2.0528986472830485e-06,0.0019834863487631
42,reward_poisoning,Reward poisoning,twa,0.9693333333333334,0.968779813948552,0.24999999701976777,0.25,0,0,0.9388832184318063,0.9693180956364184,6.479246602150262e-10,0.9364643236974276,2.854216753333276,,
42,reward_poisoning,Reward poisoning,twa_ppa,0.9693333333333334,0.968779813948552,0.24999999900658926,0.25,0,0,0.9384713953520075,0.9695946078916985,6.477104206799608e-10,0.9373749042986196,3.415890710000046,2.0625207525881704e-06,0.0020696963183581
123,sign_flipping,Sign flipping,twa,0.97,0.9694335225247916,0.11668667693932848,0.1444838941097259,0,0,0.6197779425277549,0.9149028676082805,0.26641033105724926,1.668127653658014,2.8633189099997858,,
123,sign_flipping,Sign flipping,twa_ppa,0.97,0.969430826364967,0.11727615793546038,0.147120401263237,0,0,0.6198398332588323,0.9178979853497629,0.26001162626853863,1.6695758661327273,3.390111539999998,2.05283129162126e-06,0.0022004069760441
123,random_noise_byzantine,RNB-Primary (alpha=0.5),twa,0.9716666666666668,0.9712058593373888,0.12404319892326988,0.1836944669485092,0,0,0.6441642551318277,0.9997186659800362,0.21709480363244008,0.5000214769026715,2.994047666666726,,
123,random_noise_byzantine,RNB-Primary (alpha=0.5),twa_ppa,0.972,0.9715491664694098,0.12361851967871186,0.1826777756214141,0,0,0.6439609864603978,0.9997253943777487,0.21720017603324124,0.5000214822701653,3.529867833333507,2.0525842122272784e-06,0.0021318283397704
123,model_replacement,Model replacement,twa,0.981,0.9807993485780668,0.046248896000906786,0.0874963104724884,0,0,0.398915439178739,0.2378734963413192,0.35693994656116845,11.898368008728344,2.8816551333333336,,
