seed,attack,condition,path,execution_path,round30_accuracy,round30_macro_f1,final_evaluation_reward,mean_round_time_sec
42,none,∅,fedavg,ep_0,0.4923333333333333,0.4871105382700757,0.46166666666666645,2.907349780000004
42,none,∅,static_dp,ep_sdp,0.579,0.5194992522565492,0.8949999999999996,2.8928388599999986
42,none,∅,twa,ep_twa,0.9686666666666668,0.9680842968687656,2.8433333333333337,2.89150244666677
42,none,∅,ppa,ep_ppa,0.5073333333333333,0.5065570613134764,0.5366666666666666,3.396463383333351
42,none,∅,sdp_ppa,ep_sdp-ppa,0.576,0.5154549677557424,0.8799999999999999,3.4192874766665833
42,none,∅,twa_ppa,ep_twa-ppa,0.9693333333333334,0.9687864593745592,2.8466666666666667,3.4013875700000122
42,sign_flipping,Sign flipping,fedavg,ep_0,0.9043333333333332,0.9038765544475852,2.5216666666666665,3.0598149399997663
42,sign_flipping,Sign flipping,static_dp,ep_sdp,0.633,0.622530410194722,1.165,3.0801608966667726
42,sign_flipping,Sign flipping,twa,ep_twa,0.9726666666666668,0.9722379468935678,2.863333333333334,3.1607156666666922
42,sign_flipping,Sign flipping,ppa,ep_ppa,0.8903333333333333,0.8897252632063944,2.451666666666666,3.675550916666786
42,sign_flipping,Sign flipping,sdp_ppa,ep_sdp-ppa,0.625,0.6123285921647164,1.125,3.6870243733334065
42,sign_flipping,Sign flipping,twa_ppa,ep_twa-ppa,0.9723333333333334,0.971894755165443,2.8616666666666672,3.6584944900000966
42,random_noise_byzantine,RNB-Primary (alpha=0.5),fedavg,ep_0,0.3036666666666666,0.1932302064992375,-0.48166666666666713,3.1552718366666643
42,random_noise_byzantine,RNB-Primary (alpha=0.5),static_dp,ep_sdp,0.841,0.8410880195513637,2.205,3.1123306466667904
42,random_noise_byzantine,RNB-Primary (alpha=0.5),twa,ep_twa,0.9703333333333334,0.9698632644892876,2.8516666666666666,3.3131259366667414
42,random_noise_byzantine,RNB-Primary (alpha=0.5),ppa,ep_ppa,0.2973333333333333,0.1838499571765709,-0.5133333333333336,3.9587390300000456
42,random_noise_byzantine,RNB-Primary (alpha=0.5),sdp_ppa,ep_sdp-ppa,0.8663333333333333,0.8658582322677999,2.331666666666666,3.818555619999885
42,random_noise_byzantine,RNB-Primary (alpha=0.5),twa_ppa,ep_twa-ppa,0.9703333333333334,0.9698632644892876,2.8516666666666666,3.614940569999938
42,model_replacement,Model replacement,fedavg,ep_0,0.128,0.0733104238258877,-1.3599999999999999,2.873153903333514
42,model_replacement,Model replacement,static_dp,ep_sdp,0.6886666666666666,0.6818219565069327,1.4433333333333334,2.8958243333335605
42,model_replacement,Model replacement,twa,ep_twa,0.9676666666666668,0.967291075884205,2.838333333333334,2.864109993333235
42,model_replacement,Model replacement,ppa,ep_ppa,0.2503333333333333,0.106160118606375,-0.7483333333333335,3.440524683333509
42,model_replacement,Model replacement,sdp_ppa,ep_sdp-ppa,0.6903333333333334,0.6835769048935905,1.4516666666666667,3.3930245199999263
42,model_replacement,Model replacement,twa_ppa,ep_twa-ppa,0.9666666666666668,0.9662700728212856,2.833333333333334,3.3994650900001337
42,label_flipping,Label flipping,fedavg,ep_0,0.732,0.7413956073883354,1.6600000000000001,2.84436196000006
42,label_flipping,Label flipping,static_dp,ep_sdp,0.465,0.4222718480052085,0.3250000000000002,2.8563014966667954
42,label_flipping,Label flipping,twa,ep_twa,0.9676666666666668,0.9671569453482702,2.838333333333334,2.8764634900001207
42,label_flipping,Label flipping,ppa,ep_ppa,0.742,0.7510074033740812,1.71,3.3820120366664925
42,label_flipping,Label flipping,sdp_ppa,ep_sdp-ppa,0.4593333333333333,0.413086899709415,0.2966666666666664,3.4305193333334802
42,label_flipping,Label flipping,twa_ppa,ep_twa-ppa,0.9673333333333334,0.9668367250959043,2.836666666666667,3.4015050600000296
42,data_poisoning,Data poisoning,fedavg,ep_0,0.6093333333333333,0.6152245850878196,1.0466666666666664,2.824058396666442
42,data_poisoning,Data poisoning,static_dp,ep_sdp,0.619,0.5820064345378697,1.0949999999999998,2.8393667733332526
42,data_poisoning,Data poisoning,twa,ep_twa,0.971,0.9705190667451632,2.8549999999999995,2.8469727566667036
42,data_poisoning,Data poisoning,ppa,ep_ppa,0.6276666666666667,0.6350169618186763,1.1383333333333336,3.4009301633333964
42,data_poisoning,Data poisoning,sdp_ppa,ep_sdp-ppa,0.6186666666666667,0.5813278553330445,1.0933333333333337,3.3907818966667036
42,data_poisoning,Data poisoning,twa_ppa,ep_twa-ppa,0.971,0.9705190667451632,2.8549999999999995,3.413753923333267
42,reward_poisoning,Reward poisoning,fedavg,ep_0,0.4923333333333333,0.4871105382700757,0.46166666666666645,2.8455403866665923
42,reward_poisoning,Reward poisoning,static_dp,ep_sdp,0.579,0.5194992522565492,0.8949999999999996,2.8497281166667867
42,reward_poisoning,Reward poisoning,twa,ep_twa,0.9693333333333334,0.968779813948552,2.8466666666666667,2.854216753333276
42,reward_poisoning,Reward poisoning,ppa,ep_ppa,0.493,0.4874018819084968,0.46499999999999986,3.38336862999998
42,reward_poisoning,Reward poisoning,sdp_ppa,ep_sdp-ppa,0.5786666666666667,0.5184703618260651,0.8933333333333335,3.3901658500000242
42,reward_poisoning,Reward poisoning,twa_ppa,ep_twa-ppa,0.9693333333333334,0.968779813948552,2.8466666666666667,3.415890710000046
123,none,∅,fedavg,ep_0,0.6093333333333333,0.5463595775926415,1.0466666666666664,2.8988385833334784
123,none,∅,static_dp,ep_sdp,0.3643333333333333,0.2628959610047698,-0.17833333333333368,2.9123316833334685
123,none,∅,twa,ep_twa,0.9703333333333334,0.969712442077904,2.8516666666666666,2.9474248433337076
123,none,∅,ppa,ep_ppa,0.622,0.5595510923812519,1.1099999999999999,3.4255739633334086
123,none,∅,sdp_ppa,ep_sdp-ppa,0.3666666666666666,0.2646517953630022,-0.16666666666666696,3.440891853333475
123,none,∅,twa_ppa,ep_twa-ppa,0.97,0.9693628676544072,2.8499999999999996,3.4378691866666484
123,sign_flipping,Sign flipping,fedavg,ep_0,0.6026666666666667,0.5597693278112408,1.0133333333333336,2.856067596666556
123,sign_flipping,Sign flipping,static_dp,ep_sdp,0.5316666666666666,0.4895772821580046,0.6583333333333332,2.8672866066666756
123,sign_flipping,Sign flipping,twa,ep_twa,0.97,0.9694335225247916,2.8499999999999996,2.8633189099997858
123,sign_flipping,Sign flipping,ppa,ep_ppa,0.6103333333333333,0.5717996257929753,1.0516666666666663,3.3845766400001596
