run_id,seed,execution_path,condition,attack,rounds,num_clients,malicious_client_id,partition_hash,initial_checkpoint_hash,config_hash,status,log_path
s42_random_noise_byzantine_static_dp,42,ep_sdp,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\random_noise_byzantine\run.log
s42_random_noise_byzantine_twa,42,ep_twa,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\random_noise_byzantine\run.log
s42_random_noise_byzantine_ppa,42,ep_ppa,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\random_noise_byzantine\run.log
s42_random_noise_byzantine_sdp_ppa,42,ep_sdp-ppa,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\random_noise_byzantine\run.log
s42_random_noise_byzantine_twa_ppa,42,ep_twa-ppa,adversarial,random_noise_byzantine,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\random_noise_byzantine\run.log
s42_model_replacement_fedavg,42,ep_0,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\model_replacement\run.log
s42_model_replacement_static_dp,42,ep_sdp,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\model_replacement\run.log
s42_model_replacement_twa,42,ep_twa,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\model_replacement\run.log
s42_model_replacement_ppa,42,ep_ppa,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\model_replacement\run.log
s42_model_replacement_sdp_ppa,42,ep_sdp-ppa,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\model_replacement\run.log
