condition,alpha,mean_accuracy_degradation,std_accuracy_degradation,min_accuracy_degradation,mean_f1_degradation,mean_attacked_accuracy,mean_norm_ratio,any_nan_or_inf,all_stable
RNB-Weak,0.0,0.10611111111111114,0.05934113556690976,0.04733333333333345,0.16066760114356013,0.44111111111111106,,False,True
alpha_0.5,0.5,0.11033333333333338,0.06864643714959526,0.06066666666666676,0.17429043485872864,0.4368888888888888,0.5001973822456454,False,True
alpha_1,1.0,0.013666666666666624,0.23135998885815243,-0.247,0.029205429105639596,0.5335555555555556,1.0003947741273604,False,True
alpha_2,2.0,0.03455555555555556,0.16841791054573907,-0.15899999999999992,0.0599730613013237,0.5126666666666666,2.0007895368982056,False,True
alpha_4,4.0,0.07544444444444447,0.17987722150070812,-0.1233333333333333,0.11786204372201398,0.4717777777777778,4.001579066675102,False,True
alpha_8,8.0,0.08755555555555555,0.16090312245203572,-0.05799999999999994,0.1295256579498306,0.45966666666666667,8.003158079869957,False,True
